"song" "line" "artist"
"174" "Bring the Sun / Toussaint L’Ouverture" "Home!" "Swans"
"175" "Bring the Sun / Toussaint L’Ouverture" "Home!" "Swans"
"176" "Bring the Sun / Toussaint L’Ouverture" "*Horse galloping and neighing*" "Swans"
"177" "Bring the Sun / Toussaint L’Ouverture" "Toussaint!" "Swans"
"178" "Bring the Sun / Toussaint L’Ouverture" "Toussaint L'ouverture!" "Swans"
"179" "Bring the Sun / Toussaint L’Ouverture" "Toussaint!" "Swans"
"180" "Bring the Sun / Toussaint L’Ouverture" "Toussaint L'ouverture!" "Swans"
"181" "Bring the Sun / Toussaint L’Ouverture" "Liberté!" "Swans"
"182" "Bring the Sun / Toussaint L’Ouverture" "Egalité!" "Swans"
"183" "Bring the Sun / Toussaint L’Ouverture" "Fraternité!" "Swans"
"184" "Bring the Sun / Toussaint L’Ouverture" "Sangre de Dios!" "Swans"
"185" "Bring the Sun / Toussaint L’Ouverture" "Hijo de Dios!" "Swans"
"186" "Bring the Sun / Toussaint L’Ouverture" "Amor de Dios!" "Swans"
"187" "Bring the Sun / Toussaint L’Ouverture" "Sangre es Vida!" "Swans"
"188" "Bring the Sun / Toussaint L’Ouverture" "Vida es Sangre!" "Swans"
"189" "Bring the Sun / Toussaint L’Ouverture" "Sangre es Amor!" "Swans"
"190" "Bring the Sun / Toussaint L’Ouverture" "Amor es Sangre!" "Swans"
"191" "Bring the Sun / Toussaint L’Ouverture" "Toussaint!" "Swans"
"192" "Bring the Sun / Toussaint L’Ouverture" "Toussaint L'ouverture!" "Swans"
"193" "Bring the Sun / Toussaint L’Ouverture" "Toussaint L'ouverture!" "Swans"
"194" "Bring the Sun / Toussaint L’Ouverture" "Freedom!" "Swans"
"195" "Bring the Sun / Toussaint L’Ouverture" "Freedom!" "Swans"
"196" "Bring the Sun / Toussaint L’Ouverture" "Ellos!" "Swans"
"197" "Blood and Honey" "I found you lying where I drowned you" "Swans"
"198" "Blood and Honey" "I found you lying where I lay with you" "Swans"
"199" "Blood and Honey" "Where I threw you in the water" "Swans"
"200" "Blood and Honey" "Where I drowned you in the river" "Swans"
"201" "Blood and Honey" "Where I watched you roll away" "Swans"
"202" "Blood and Honey" "Where I watched your body roll away" "Swans"
"203" "Blood and Honey" "Roll away, roll away from everything we think we know" "Swans"
"204" "Blood and Honey" "Oh, oh, oh, oh" "Swans"
"205" "Blood and Honey" "We'll lie down in the warm green grass" "Swans"
"206" "Blood and Honey" "And the sun will shine on your pale shape" "Swans"
"207" "Blood and Honey" "Our blood will flow black in the dirt" "Swans"
"208" "Blood and Honey" "And a black rose will grow where we laid" "Swans"
"209" "Annaline" "Right here and right now" "Swans"
"210" "Annaline" "The first night of our life" "Swans"
"211" "Annaline" "Well, I'm somewhere in you" "Swans"
"212" "Annaline" "And I'll never get out" "Swans"
"213" "Annaline" "Well, it's sucking us in" "Swans"
"214" "Annaline" "My impossible friend" "Swans"
"215" "Annaline" "How is it true" "Swans"
"216" "Annaline" "That we even exist?" "Swans"
"217" "Annaline" "Well, I'll follow you down" "Swans"
"218" "Annaline" "With our limbs interlocked" "Swans"
"219" "Annaline" "Oh, the Buddha was right" "Swans"
"220" "Annaline" "And St. John of the Cross" "Swans"
"221" "Annaline" "A word is a thought" "Swans"
"222" "Annaline" "And a thought is a box" "Swans"
"223" "Annaline" "Let's burn in a fire" "Swans"
"224" "Annaline" "Let's clean what is true" "Swans"
"225" "Annaline" "Let me sink in your bed" "Swans"
"226" "Annaline" "Folded in you" "Swans"
"227" "Annaline" "Pulling us down" "Swans"
"228" "Annaline" "With hands made of light" "Swans"
"229" "Annaline" "Pushing us through" "Swans"
"230" "Annaline" "A window in time" "Swans"
"231" "Annaline" "Slipping into" "Swans"
"232" "Annaline" "A spiralling line" "Swans"
"233" "Annaline" "Undoing the knot" "Swans"
"234" "Annaline" "Releasing the binds" "Swans"
"235" "Annaline" "Annaline, Annaline" "Swans"
"236" "Annaline" "Annaline, Annaline" "Swans"
"237" "Annaline" "Annaline" "Swans"
"238" "Whore" "You're too close" "Swans"
"239" "Whore" "I don't recognize your smell" "Swans"
"240" "Whore" "You're in the wrong skin" "Swans"
"241" "Whore" "I don't recognize your smell" "Swans"
"242" "Whore" "Your mouth smells strange" "Swans"
"243" "Whore" "Some people want to kill you" "Swans"
"244" "Whore" "Some people want to fuck you" "Swans"
"245" "Whore" "When you say the wrong word" "Swans"
"246" "Whore" "You could be screwing yourself" "Swans"
"247" "Whore" "When you act the wrong way" "Swans"
"248" "Whore" "When you do the wrong thing" "Swans"
"249" "Whore" "You could be screwing yourself" "Swans"
"250" "Whore" "Don't be a whore" "Swans"
"251" "Whore" "You could be screwing yourself" "Swans"
"252" "God Damn the Sun" "When, when we were young" "Swans"
"253" "God Damn the Sun" "We had no history, so nothing to lose" "Swans"
"254" "God Damn the Sun" "Meant we could choose, choose what we wanted then" "Swans"
"255" "God Damn the Sun" "Without any fear or thought of revenge" "Swans"
"256" "God Damn the Sun" "But then you grew old, and I lost my ambition" "Swans"
"257" "God Damn the Sun" "So I gained an addiction, to drink and depression" "Swans"
"258" "God Damn the Sun" "They are mine, my only true friends" "Swans"
"259" "God Damn the Sun" "And I'll keep them with me until the very end" "Swans"
"260" "God Damn the Sun" "I'd choose not to remember, but I miss your arrogance" "Swans"
"261" "God Damn the Sun" "And I need your intelligence, and your hate for authority" "Swans"
"262" "God Damn the Sun" "But now you're gone, I read it today" "Swans"
"263" "God Damn the Sun" "They found you in Spain, face down in the street" "Swans"
"264" "God Damn the Sun" "With a bottle in your hand and a wild smile on your face" "Swans"
"265" "God Damn the Sun" "And a knife in your back, you died in a foreign land" "Swans"
